"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","mean_dbh_cm","dbhSD_cm","mean_ba_cm","baSD_cm","lon","lat"
"160","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1993",14.1613165844018,4.98045570256697,1748.23129705156,1262.19208451312,-0.645129945283909,54.255573939611
"161","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1994",15.1276846519953,5.07015144788271,1976.82367816501,1399.707229088,-0.645129945283909,54.255573939611
"162","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1995",15.8205349797258,5.120154650234,2148.78987027205,1497.37433843181,-0.645129945283909,54.255573939611
"163","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1996",16.438154745051,5.12266752298073,2305.44918461663,1565.60755988095,-0.645129945283909,54.255573939611
"164","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1997",17.3482566554157,5.10463591219589,2545.66441716893,1639.16199247467,-0.645129945283909,54.255573939611
"165","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1998",18.1328955555432,5.2434510600613,2774.34688054318,1768.44795882585,-0.645129945283909,54.255573939611
"166","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"1999",18.95780209354,5.31793631553436,3020.14209826651,1867.86166045175,-0.645129945283909,54.255573939611
"167","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2000",19.7806437475238,5.29354015617057,3268.6852107691,1914.50651898173,-0.645129945283909,54.255573939611
"168","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2001",20.5963308356889,5.3856053811818,3534.21979073358,2000.42974649093,-0.645129945283909,54.255573939611
"169","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2002",21.3958457132404,5.49908739948551,3806.52786204312,2094.15775261403,-0.645129945283909,54.255573939611
"170","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2003",22.0556958165473,5.535219538474,4034.49673219456,2149.63219813263,-0.645129945283909,54.255573939611
"171","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2004",22.8297395363916,5.55368537911064,4308.79942464971,2201.75732022429,-0.645129945283909,54.255573939611
"172","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2005",23.5559573790387,5.53536235976055,4571.95110053645,2230.22160877361,-0.645129945283909,54.255573939611
"173","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2006",24.1598988616487,5.53015729780117,4797.8817826345,2257.54016382589,-0.645129945283909,54.255573939611
"174","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2007",24.9543542539472,5.59967845584983,5109.73880302803,2319.04459150146,-0.645129945283909,54.255573939611
"175","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2008",25.6140469422744,5.68926935964809,5378.80533784783,2389.32394102987,-0.645129945283909,54.255573939611
"176","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2009",26.2038804185927,5.85374063202092,5632.10801115754,2494.14575125648,-0.645129945283909,54.255573939611
"177","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2010",26.8089111850382,6.01502218419813,5897.38324776046,2593.94843677133,-0.645129945283909,54.255573939611
"178","4301",488364,485280,2,14,196,1044.984076,21.3013888888889,"1","Moist","Very Poor",1976,"2011",27.4408793818263,6.16446666784899,6179.35736785537,2695.07702101394,-0.645129945283909,54.255573939611
"179","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1972",0.333717211213548,0.728282403403607,4.57753320661455,11.5600890863138,-5.62099243648078,55.701508388666
"180","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1973",0.821095302614624,1.39604959926115,18.9014038351765,40.7287301305304,-5.62099243648078,55.701508388666
"181","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1974",2.20932830573292,1.9074521379089,63.7369575478447,81.3228208679783,-5.62099243648078,55.701508388666
"182","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1975",4.3408386009991,2.27843812053032,184.233604801376,142.474701499384,-5.62099243648078,55.701508388666
"183","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1976",5.93778193748224,2.79681226925823,331.51879878243,217.609916950564,-5.62099243648078,55.701508388666
"184","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1977",7.37492212764725,3.47326537915278,511.39357177095,335.078484007889,-5.62099243648078,55.701508388666
"185","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1978",8.8462635749809,4.11855112324005,733.044499192512,473.522535060883,-5.62099243648078,55.701508388666
"186","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1979",10.45776192314,4.78760143502456,1018.96866566609,639.244698757912,-5.62099243648078,55.701508388666
"187","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1980",12.09858180658,5.51265798407247,1361.78993743608,839.380274687548,-5.62099243648078,55.701508388666
"188","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1981",14.6936589559849,4.07880474216607,1811.84872976274,933.23523573525,-5.62099243648078,55.701508388666
"189","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1982",16.5585708952966,4.11606035004184,2271.73107287786,1064.89278593887,-5.62099243648078,55.701508388666
"190","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1983",17.8480925324316,4.03492735178954,2615.58076245875,1121.8037584784,-5.62099243648078,55.701508388666
"191","461",172576,651283,2,14,78,1542.595541,25.2736543909348,"H","Very Moist","Very Poor",1963,"1984",18.9886168811099,4.10624555457056,2949.60483012701,1201.23005797245,-5.62099243648078,55.701508388666
