"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"34","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS16",NA,NA,-3.22969852931465,54.6077438645613
"35","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS17",NA,NA,-3.22969852931465,54.6077438645613
"36","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS20",NA,NA,-3.22969852931465,54.6077438645613
"37","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS22",62.2826398440953,2.81603835201156,-3.22969852931465,54.6077438645613
"38","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS26",NA,NA,-3.22969852931465,54.6077438645613
"39","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS28",NA,NA,-3.22969852931465,54.6077438645613
"40","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS32",NA,NA,-3.22969852931465,54.6077438645613
"41","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS01",176.460255976304,4.74000185636166,-3.22969852931465,54.6077438645613
"42","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS07",NA,NA,-3.22969852931465,54.6077438645613
"43","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS12",NA,NA,-3.22969852931465,54.6077438645613
"44","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS16",NA,NA,-3.22969852931465,54.6077438645613
"45","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS17",NA,NA,-3.22969852931465,54.6077438645613
"46","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS20",NA,NA,-3.22969852931465,54.6077438645613
"47","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS22",85.9807413716253,3.30868674854541,-3.22969852931465,54.6077438645613
"48","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS26",13.3049674218245,1.30155332825359,-3.22969852931465,54.6077438645613
"49","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS28",NA,NA,-3.22969852931465,54.6077438645613
"50","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS32",NA,NA,-3.22969852931465,54.6077438645613
"51","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS01",157.181210831484,4.47358171178308,-3.22969852931465,54.6077438645613
"52","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS07",NA,NA,-3.22969852931465,54.6077438645613
"53","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS12",NA,NA,-3.22969852931465,54.6077438645613
"54","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS16",NA,NA,-3.22969852931465,54.6077438645613
"55","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS17",NA,NA,-3.22969852931465,54.6077438645613
"56","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS20",NA,NA,-3.22969852931465,54.6077438645613
"57","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS22",151.061723455979,4.38563290757446,-3.22969852931465,54.6077438645613
"58","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS26",31.6905855034473,2.00872364099196,-3.22969852931465,54.6077438645613
"59","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS28",NA,NA,-3.22969852931465,54.6077438645613
"60","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1982","SS32",NA,NA,-3.22969852931465,54.6077438645613
"61","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS01",248.314122262801,5.62284056310687,-3.22969852931465,54.6077438645613
"62","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS07",NA,NA,-3.22969852931465,54.6077438645613
"63","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS12",NA,NA,-3.22969852931465,54.6077438645613
"64","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS16",17.3211962283086,1.48505999878793,-3.22969852931465,54.6077438645613
"65","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS17",NA,NA,-3.22969852931465,54.6077438645613
"66","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS20",NA,NA,-3.22969852931465,54.6077438645613
"67","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS22",206.254479831306,5.12456203006657,-3.22969852931465,54.6077438645613
"68","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS26",50.5713143996585,2.5375065974866,-3.22969852931465,54.6077438645613
"69","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS28",0.0313593778681333,0.0631886065679565,-3.22969852931465,54.6077438645613
"70","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1983","SS32",NA,NA,-3.22969852931465,54.6077438645613
"71","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS01",256.611675836663,5.71601376236972,-3.22969852931465,54.6077438645613
"72","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS07",NA,NA,-3.22969852931465,54.6077438645613
