"SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS16",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS20",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS22",62.2826398440953,8.90509517074354,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS26",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS28",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS32",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS01",176.460255976304,14.9892019795291,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS12",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS16",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS20",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS22",85.9807413716253,10.4629861894203,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS26",13.3049674218245,4.11587301345413,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS28",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS32",NA,NA,-3.22969852931465,54.6077438645613
